Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
21,Female,1,5.89208,2.144394544,7.32363,5.462224378,Arts,ENTP
24,Female,1,2.48366,3.20618821,8.06876,3.765012189,Fiction,INTP
26,Female,1,7.0291,6.469302076,4.16472,5.454441761,Others,ESFP
30,Male,0,5.46525,4.179243896,2.82487,5.080477123,Sports,ENFJ
31,Female,0,3.59804,6.189258613,5.31347,3.677984233,Others,ISFP
33,Female,0,1.06869,7.143506853,3.84411,6.347241399,Sports,ISFJ
32,Female,0,6.29802,6.223902581,7.90633,6.705587885,Arts,ESTJ
27,Male,1,3.98957,4.406797471,5.09055,5.55649997,Technology,INFP
30,Male,0,1.55058,6.652427637,0.57707,6.919573121,Fiction,ISFJ
26,Female,1,7.02255,6.929233783,9.49484,6.052260677,Arts,ESTP
32,Male,0,3.98624,6.287162951,1.83208,5.447140637,Arts,ISFP
32,Male,0,4.53003,4.627212288,0.61009,5.558510043,Arts,ENFP
27,Female,0,9.29553,6.634297859,7.19146,5.219353564,Sports,ESTJ
28,Male,0,1.01677,5.156651652,8.26066,6.966520027,Arts,INTJ
31,Male,0,1.14596,6.498267642,2.98133,6.820404491,Others,ISFJ
28,Male,0,9.93171,6.819572665,8.98271,5.647164882,Arts,ESTP
32,Female,0,5.61706,6.190430532,0.773,7.59879469,Others,ESFJ
40,Female,0,8.07492,7.644282574,1.7047,5.993003615,Arts,ESFP
26,Male,0,2.75736,6.353615656,9.83251,6.232064241,Others,ISTJ
21,Female,0,1.29799,6.463862514,8.29384,5.771908533,Sports,INTJ
26,Male,1,0.28853,6.357330656,0.38543,4.777515143,Fiction,ISFP
43,Male,1,2.66864,6.118689029,5.79244,2.984196236,Sports,ISFP
25,Male,1,4.55792,6.292396073,3.87543,5.711100933,Fiction,ISFP
25,Male,0,4.745,6.927306716,8.6907,6.182199254,Arts,ESTJ
24,Male,1,3.73142,2.377148273,1.64649,5.515823522,Arts,INFP
30,Male,0,8.11472,6.183239678,3.71172,7.205182648,Arts,ESFJ
26,Male,0,8.34654,7.243558377,4.84332,6.558666453,Fiction,ESFJ
26,Male,0,2.15134,6.034398069,7.1155,5.272596344,Sports,INTJ
29,Female,0,1.64937,5.856951258,3.63261,5.183461627,Sports,INFJ
27,Female,0,9.99697,6.162209109,6.66667,6.24964629,Fiction,ESTJ
28,Female,1,3.65027,6.137394569,9.28303,2.472787691,Arts,ESTP
25,Female,1,8.92957,6.938028787,7.89794,6.087538084,Fiction,ESTP
28,Male,0,1.68275,6.868932818,2.33712,4.89726501,Sports,ISFP
26,Female,1,0.24833,7.049131299,9.75167,2.802447538,Fiction,ISTP
27,Male,0,2.65191,7.627439237,7.42669,3.13244855,Arts,ISTP
24,Female,0,9.2027,5.165528173,2.82748,4.155086638,Fiction,ENFP
34,Female,1,6.39078,4.91500886,9.92188,4.578175128,Others,ENTP
24,Female,1,7.77627,5.879191741,5.64043,5.440611101,Arts,ENTP
30,Male,0,4.92346,7.420798401,4.83204,6.072067076,Fiction,ESFJ
29,Male,0,4.16954,3.533304628,7.38713,7.305510133,Others,INTJ
23,Male,0,9.05568,5.889722309,2.62496,7.13832709,Technology,ENFJ
26,Male,0,4.67871,8.040719552,9.88908,6.142172834,Arts,ISTJ
34,Male,0,5.74512,1.168024226,2.51979,6.550922398,Arts,ENFJ
27,Male,0,1.3476,6.162959876,2.27648,7.156971931,Arts,ISFJ
28,Female,1,5.40763,6.447529643,5.87289,3.887960996,Arts,ESTP
25,Male,0,9.93686,7.201479686,8.79948,4.898499347,Others,ESTP
30,Male,0,6.11465,6.292360413,9.09612,7.203576807,Fiction,ESTJ
28,Female,0,0.47346,6.776792264,5.84681,5.322647079,Others,ISTP
26,Male,0,5.09375,4.35827561,9.58736,6.011208541,Sports,ENTJ
26,Female,0,4.72305,6.315526905,5.62712,5.341650382,Fiction,ESTP
30,Female,0,3.82631,6.838850142,0.18192,7.442540592,Arts,ESFJ
23,Female,0,0.03394,5.086927545,3.68783,4.917765723,Others,INFP
23,Female,0,6.69746,6.424481175,1.97197,7.428558762,Arts,ESFJ
24,Male,0,7.01378,3.379199976,3.67597,3.442991704,Arts,ENFP
21,Male,0,0.51834,4.250710532,8.77713,5.971277991,Sports,INTJ
34,Male,0,1.23727,6.209174933,9.80111,6.218396975,Others,ISTJ
25,Male,0,0.41882,6.99706899,1.52657,4.591009866,Sports,ISFP
25,Female,0,6.465,6.792770551,1.42658,6.566238941,Fiction,ESFJ
31,Female,1,2.74982,6.179555682,3.67152,6.359580049,Fiction,ISFP
28,Female,0,4.39971,3.915602886,0.27381,5.903827785,Fiction,INFP
21,Female,0,1.5701,3.721510446,0.34386,6.029446741,Technology,INFJ
21,Female,1,0.08104,7.284915344,3.59145,3.327044518,Arts,INFP
